Source_PPT,SlideIndex,SelectionTitle,Title,Code,Title_short,Image_sub_url,Deci_Question,Next1_Code,Next2_Code,Image_web,Narr1_seed,Desc_Next1,Desc_Next2,Desi_Ques,Narr2_seed,Narr3_seed,UAP_Label,UAP_URL,Start_Here,Entity,Function,SubEntity,Exclude,FAQ_Loc,FAQ_File,FAQ_Label,Quiz_Loc,Quiz_File,Quiz_Label
C:\Users\scottuser\Documents\SonetLumier\WIP\PPS\Tech\PPS_FF_Tech_Mobile_260112_1400.pptx,11,S4. Additional material is added OPM - Tech Mobile – at PPS,S4. Additional material is added OPM - Tech Mobile – at PPS,S4,Additional material is added OPM - Tech Mobile – at PPS,../images/TechMobile/S4.png,,D2,,../images/TechMobile/S4.png,Additional material is added OPM - Tech Mobile – at PPS,Decision is Additional work needed ?- Tech Mobile – at PPS,,,The process of adding material to the SRo is an OPM and has a few steps that need to be performed so that the changes are documented ,The process of adding material to the SRo is an OPM and has a few steps that need to be performed so that the changes are documented ,03_Add Material,https://scottelectricusa.uap.infor.com/#/content/6d341c8f-1b8b-4f29-8b26-cb414d4b1ccf?contextId=c1248d71-51e1-4a15-abad-767d693ec39b&bypassGroupFiltering=false,No,PALCO,Service,TechMobile,,../faq,PPS_TechMobile_faq.html,FAQ For Tech Mobile,,,
C:\Users\scottuser\Documents\SonetLumier\WIP\PPS\Tech\PPS_FF_Tech_Mobile_260112_1400.pptx,12,D2. Decision is Additional work needed ?- Tech Mobile – at PPS,D2. Decision is Additional work needed ?- Tech Mobile – at PPS,D2,Decision is Additional work needed ?- Tech Mobile – at PPS,../images/TechMobile/D2.png,Decision is Additional work needed ?- Tech Mobile – at PPS?,Y2,N2,../images/TechMobile/D2.png,Decision is Additional work needed ?- Tech Mobile – at PPS,"Yes, Additional Work needs to be performed- Tech Mobile – at PPS","No, Additional Work needs to be performed- Tech Mobile – at PPS",Decision is Additional work needed ?- Tech Mobile – at PPS?,As is common the technician finds that some additional work needs to be performed on the generator that was not scheduled however it is deemed necessary for the safe and reliable operation of the unit. So a decision if such a work is needed needs to be taken ,As is common the technician finds that some additional work needs to be performed on the generator that was not scheduled however it is deemed necessary for the safe and reliable operation of the unit. So a decision if such a work is needed needs to be taken ,,,No,PALCO,Service,TechMobile,,../faq,PPS_TechMobile_faq.html,FAQ For Tech Mobile,,,
C:\Users\scottuser\Documents\SonetLumier\WIP\PPS\Tech\PPS_FF_Tech_Mobile_260112_1400.pptx,13,"Y2. Yes, Additional Work needs to be performed- Tech Mobile – at PPS","Y2. Yes, Additional Work needs to be performed- Tech Mobile – at PPS",Y2,"Yes, Additional Work needs to be performed- Tech Mobile – at PPS",../images/TechMobile/Y2.png,,D3,,../images/TechMobile/Y2.png,"Yes, Additional Work needs to be performed- Tech Mobile – at PPS","Decision, Can the additional work be performed during this visit? - Tech Mobile – at PPS",,,The technician determines that additional work needs to be performed and choose to follow that path,The technician determines that additional work needs to be performed and choose to follow that path,,,No,PALCO,Service,TechMobile,,../faq,PPS_TechMobile_faq.html,FAQ For Tech Mobile,,,
C:\Users\scottuser\Documents\SonetLumier\WIP\PPS\Tech\PPS_FF_Tech_Mobile_260112_1400.pptx,14,"D3. Decision, Can the additional work be performed during this visit? - Tech Mobile – at PPS","D3. Decision, Can the additional work be performed during this visit? - Tech Mobile – at PPS",D3,"Decision, Can the additional work be performed during this visit? - Tech Mobile – at PPS",../images/TechMobile/D3.png,"Decision, Can the additional work be performed during this visit?",Y3,N3,../images/TechMobile/D3.png,"Decision, Can the additional work be performed during this visit? - Tech Mobile – at PPS",Yes the Additional work can be performed during this visit - Tech Mobile – at PPS,"No, the Additional work can not be performed during this visit - Tech Mobile – at PPS","Decision, Can the additional work be performed during this visit?","Having determined the scope and nature of the work yet another decision needs to be taken, that is can this additonal work be performed during this visit ?","Having determined the scope and nature of the work yet another decision needs to be taken, that is can this additonal work be performed during this visit ?",,,No,PALCO,Service,TechMobile,,../faq,PPS_TechMobile_faq.html,FAQ For Tech Mobile,,,
C:\Users\scottuser\Documents\SonetLumier\WIP\PPS\Tech\PPS_FF_Tech_Mobile_260112_1400.pptx,15,Y3. Yes the Additional work can be performed during this visit - Tech Mobile – at PPS,Y3. Yes the Additional work can be performed during this visit - Tech Mobile – at PPS,Y3,Yes the Additional work can be performed during this visit - Tech Mobile – at PPS,../images/TechMobile/Y3.png,,S5,,../images/TechMobile/Y3.png,Yes the Additional work can be performed during this visit - Tech Mobile – at PPS,Create a new SRO OPM - Tech Mobile – at PPS,,,In this path the technician has determined that this additional work can be done during this visit,In this path the technician has determined that this additional work can be done during this visit,,,No,PALCO,Service,TechMobile,,../faq,PPS_TechMobile_faq.html,FAQ For Tech Mobile,,,
C:\Users\scottuser\Documents\SonetLumier\WIP\PPS\Tech\PPS_FF_Tech_Mobile_260112_1400.pptx,16,S5. Create a new SRO OPM - Tech Mobile – at PPS,S5. Create a new SRO OPM - Tech Mobile – at PPS,S5,Create a new SRO OPM - Tech Mobile – at PPS,../images/TechMobile/S5.png,,S6,,../images/TechMobile/S5.png,Create a new SRO OPM - Tech Mobile – at PPS,Travel (from) Leaving Site OPM - Tech Mobile – at PPS,,,The process to do the additional work is to create a new SRO which would have the details of the planned activites and material ,The process to do the additional work is to create a new SRO which would have the details of the planned activites and material ,04_Quick Create SRO,https://scottelectricusa.uap.infor.com/#/content/116036b4-ca1f-4c52-9ca5-544f66d3ee29?contextId=3a4b3dad-96fe-4694-a768-791383f32e32&bypassGroupFiltering=false,No,PALCO,Service,TechMobile,,../faq,PPS_TechMobile_faq.html,FAQ For Tech Mobile,,,
C:\Users\scottuser\Documents\SonetLumier\WIP\PPS\Tech\PPS_FF_Tech_Mobile_260112_1400.pptx,17,S6. Travel (from) Leaving Site OPM - Tech Mobile – at PPS,S6. Travel (from) Leaving Site OPM - Tech Mobile – at PPS,S6,Travel (from) Leaving Site OPM - Tech Mobile – at PPS,../images/TechMobile/S6.png,,S8,,../images/TechMobile/S6.png,Travel (from) Leaving Site OPM - Tech Mobile – at PPS,Close the SRO OPM - Tech Mobile – at PPS,,,upon completing the service call the techician clock out of the work and clocks into the travel from the site OPM,upon completing the service call the techician clock out of the work and clocks into the travel from the site OPM,04_Travel Leaving Site,https://scottelectricusa.uap.infor.com/#/content/0c07f2be-edd8-4fd3-9019-7cd98e03d831?contextId=c1248d71-51e1-4a15-abad-767d693ec39b&bypassGroupFiltering=false,No,PALCO,Service,TechMobile,,../faq,PPS_TechMobile_faq.html,FAQ For Tech Mobile,,,
C:\Users\scottuser\Documents\SonetLumier\WIP\PPS\Tech\PPS_FF_Tech_Mobile_260112_1400.pptx,18,S8. Close the SRO OPM - Tech Mobile – at PPS,S8. Close the SRO OPM - Tech Mobile – at PPS,S8,Close the SRO OPM - Tech Mobile – at PPS,../images/TechMobile/S8.png,"Would you like to go to D3 ""Can Additional  Work be completed during this visit "" or to the end of the Path  slide ?",D3a,S998a,../images/TechMobile/S8.png,Close the SRO OPM - Tech Mobile – at PPS,"Go to ""Can Additional Work be done During this visit?""",Go to the end of the path slide S998a,"Would you like to go to D3 ""Can Additional  Work be completed during this visit "" or to the end of the Path  slide ?",The call having been completed and technician Is either headed to another call is back to base the original SRO and any other additional SRO created and completed are marked appropriately,The call having been completed and technician Is either headed to another call is back to base the original SRO and any other additional SRO created and completed are marked appropriately,05_Close Appointment,https://scottelectricusa.uap.infor.com/#/content/0b3e9194-e7e0-497b-8225-aa1d5635d30d?contextId=c1248d71-51e1-4a15-abad-767d693ec39b&bypassGroupFiltering=false,No,PALCO,Service,TechMobile,,../faq,PPS_TechMobile_faq.html,FAQ For Tech Mobile,,,
C:\Users\scottuser\Documents\SonetLumier\WIP\PPS\Tech\PPS_FF_Tech_Mobile_260112_1400.pptx,19,S998a. You have come to the end of the path selected in the – Tech Mobile Process,S998a. You have come to the end of the path selected in the – Tech Mobile Process,S998a,You have come to the end of the path selected in the – Tech Mobile Process,../images/TechMobile/S998a.png,Would you like to restart S1 or go to the end of the SOP S999,S1,S999,../images/TechMobile/S998a.png,You have come to the end of the path selected in the – Tech Mobile Process,Go to the beginning of the SOP S1,Go to the end of SOP S999,Would you like to restart S1 or go to the end of the SOP S999,"While you have reached the end of a path it would be beneficial to follow an alternate path by selecting one of decision points from the Bread Crumb above however if you have traversed all the paths and would like to go to the end of this SOP do so by Clicking on S999, indicating you have completed this simulation for the Tech Mobile SOP 

Ever heard the phrase “Practice makes perfect ? – if you had not then now you have !

The Management and your project team would like you to practice this and other processes so that the Go live is smooth or if your new to the company or are new to the role you can get proficient in the training environment As one becomes more proficient in this system it behooves us to share that knowledge and help other so the Company can  achieve its destiny ","While you have reached the end of a path it would be beneficial to follow an alternate path by selecting one of decision points from the Bread Crumb above however if you have traversed all the paths and would like to go to the end of this SOP do so by Clicking on S999, indicating you have completed this simulation for the Tech Mobile SOP 

Ever heard the phrase “Practice makes perfect ? – if you had not then now you have !

The Management and your project team would like you to practice this and other processes so that the Go live is smooth or if your new to the company or are new to the role you can get proficient in the training environment As one becomes more proficient in this system it behooves us to share that knowledge and help other so the Company can  achieve its destiny ",,,No,PALCO,Service,TechMobile,,../faq,PPS_TechMobile_faq.html,FAQ For Tech Mobile,,,
C:\Users\scottuser\Documents\SonetLumier\WIP\PPS\Tech\PPS_FF_Tech_Mobile_260112_1400.pptx,20,"D3a. Decision, Can the additional work be performed during this visit? - Tech Mobile – at PPS","D3a. Decision, Can the additional work be performed during this visit? - Tech Mobile – at PPS",D3a,"Decision, Can the additional work be performed during this visit? - Tech Mobile – at PPS",../images/TechMobile/D3a.png,"Decision, Can the additional work be performed during this visit?",N3,Y3,../images/TechMobile/D3a.png,"Decision, Can the additional work be performed during this visit? - Tech Mobile – at PPS","No, the Additional work can not be performed during this visit - Tech Mobile – at PPS",Yes the Additional work can be performed during this visit - Tech Mobile – at PPS,"Decision, Can the additional work be performed during this visit?","Earlier this question of whether the additional service could be performed during this visit was asked, however the posibility that it could not completed during the visit needs to be investigated hence the question is reasked ","Earlier this question of whether the additional service could be performed during this visit was asked, however the posibility that it could not completed during the visit needs to be investigated hence the question is reasked ",,,No,PALCO,Service,TechMobile,,../faq,PPS_TechMobile_faq.html,FAQ For Tech Mobile,,,
